id   ,  Country  ,     Port Name      ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,    Area Local     ,    Area Global    ,                       Also known as                      
 3   ,   China   ,      NANJING       ,   CNNKG   ,       1414        ,             667             ,           1060            ,         203         ,    Port     ,  East China Sea   ,   Central China   ,               "[NAN JING, NAN JIN, NANJIN]"              
217  ,   China   ,       QUSHAN       ,   null    ,        92         ,             121             ,            120            ,          7          ,    Port     ,  East China Sea   ,   Central China   ,                     "[QUSHAN ISLAND]"                    
85   ,   China   ,       FULING       ,   CNFLG   ,        173        ,             15              ,            45             ,         14          ,    Port     ,  "Inland, China"  ,  "Inland, China"  ,                            null                          
86   ,   China   ,      CHANGSHU      ,   CNCGU   ,        171        ,             282             ,            296            ,         47          ,    Port     ,  East China Sea   ,   Central China   ,                  "[CHANG SHU, CHAMGSHU]"                 
 2   ,   China   ,        CJK         ,   CNCJK   ,       1529        ,             343             ,            370            ,         310         ,  Anchorage  ,  East China Sea   ,   Central China   ,         "[CHANGJIANGKOU, CHANGJIANG KOU, CJK CN]"        
88   ,   China   ,      GAOGANG       ,   CNGAO   ,        171        ,             123             ,            118            ,          3          ,    Port     ,  East China Sea   ,   Central China   ,                            null                          
 1   ,   China   ,      NANTONG       ,   CNNTG   ,       1572        ,            1173             ,           1287            ,         234         ,    Port     ,  East China Sea   ,   Central China   ,                        "[NAN TONG]"                      
90   ,   China   ,    NINGDE ANCH     ,   null    ,        170        ,             110             ,            120            ,          4          ,  Anchorage  ,  East China Sea   ,    South China    ,                            null                          
 9   ,   China   ,      TIANJIN       ,   CNTXG   ,        868        ,             409             ,            428            ,         225         ,    Port     ,     Bohai Sea     ,    North China    ,         "[TIAN JIN, XINGANG, XIN GANG, TIANG JIN]"       
46   ,   China   ,    LAIZHOU BAY     ,   null    ,        300        ,             75              ,            103            ,          4          ,  Anchorage  ,     Bohai Sea     ,    North China    ,                            null                          
